rx,ry,rz,sa,sb,sc
0,0,0,0,0,1
0.05,0.0866025403784439,0,0,0,1
-0.05,0.0866025403784439,0,0,0,1
-0.1,0,0,0,0,1
-0.05,-0.0866025403784439,0,0,0,1
0.0499999999999999,-0.0866025403784439,0,0,0,1
0.1,0,0,0,0,1
0.173205080756888,0.1,0,0,0,1
0.1,0.173205080756888,0,0,0,1
0,0.2,0,0,0,1
-0.1,0.173205080756888,0,0,0,1
-0.173205080756888,0.1,0,0,0,1
-0.2,0,0,0,0,1
-0.173205080756888,-0.1,0,0,0,1
-0.1,-0.173205080756888,0,0,0,1
0,-0.2,0,0,0,1
0.0999999999999999,-0.173205080756888,0,0,0,1
0.173205080756888,-0.1,0,0,0,1
0.2,0,0,0,0,1
0.281907786235773,0.102606042997701,0,0,0,1
0.229813332935693,0.192836282905962,0,0,0,1
0.15,0.259807621135332,0,0,0,1
0.0520944533000791,0.295442325903662,0,0,0,1
-0.0520944533000791,0.295442325903662,0,0,0,1
-0.15,0.259807621135332,0,0,0,1
-0.229813332935693,0.192836282905962,0,0,0,1
-0.281907786235773,0.102606042997701,0,0,0,1
-0.3,0,0,0,0,1
-0.281907786235773,-0.102606042997701,0,0,0,1
-0.229813332935693,-0.192836282905962,0,0,0,1
-0.15,-0.259807621135332,0,0,0,1
-0.0520944533000791,-0.295442325903662,0,0,0,1
0.052094453300079,-0.295442325903662,0,0,0,1
0.15,-0.259807621135332,0,0,0,1
0.229813332935693,-0.192836282905962,0,0,0,1
0.281907786235772,-0.102606042997701,0,0,0,1
0.3,0,0,0,0,1
0.386370330515627,0.103527618041008,0,0,0,1
0.346410161513776,0.2,0,0,0,1
0.282842712474619,0.282842712474619,0,0,0,1
0.2,0.346410161513775,0,0,0,1
0.103527618041008,0.386370330515627,0,0,0,1
0,0.4,0,0,0,1
-0.103527618041008,0.386370330515627,0,0,0,1
-0.2,0.346410161513776,0,0,0,1
-0.282842712474619,0.282842712474619,0,0,0,1
-0.346410161513775,0.2,0,0,0,1
-0.386370330515627,0.103527618041008,0,0,0,1
-0.4,0,0,0,0,1
-0.386370330515627,-0.103527618041008,0,0,0,1
-0.346410161513776,-0.2,0,0,0,1
-0.282842712474619,-0.282842712474619,0,0,0,1
-0.2,-0.346410161513775,0,0,0,1
-0.103527618041009,-0.386370330515627,0,0,0,1
0,-0.4,0,0,0,1
0.103527618041008,-0.386370330515627,0,0,0,1
0.2,-0.346410161513776,0,0,0,1
0.282842712474619,-0.282842712474619,0,0,0,1
0.346410161513775,-0.2,0,0,0,1
0.386370330515627,-0.103527618041009,0,0,0,1
0.4,0,0,0,0,1
0.489073800366903,0.10395584540888,0,0,0,1
0.4567727288213,0.2033683215379,0,0,0,1
0.404508497187474,0.293892626146237,0,0,0,1
0.334565303179429,0.371572412738697,0,0,0,1
0.25,0.433012701892219,0,0,0,1
0.154508497187474,0.475528258147577,0,0,0,1
0.0522642316338268,0.497260947684137,0,0,0,1
-0.0522642316338267,0.497260947684137,0,0,0,1
-0.154508497187474,0.475528258147577,0,0,0,1
-0.25,0.433012701892219,0,0,0,1
-0.334565303179429,0.371572412738697,0,0,0,1
-0.404508497187474,0.293892626146237,0,0,0,1
-0.4567727288213,0.2033683215379,0,0,0,1
-0.489073800366903,0.10395584540888,0,0,0,1
-0.5,0,0,0,0,1
-0.489073800366903,-0.10395584540888,0,0,0,1
-0.456772728821301,-0.2033683215379,0,0,0,1
-0.404508497187474,-0.293892626146237,0,0,0,1
-0.334565303179429,-0.371572412738697,0,0,0,1
-0.25,-0.433012701892219,0,0,0,1
-0.154508497187474,-0.475528258147577,0,0,0,1
-0.0522642316338271,-0.497260947684137,0,0,0,1
0.0522642316338265,-0.497260947684137,0,0,0,1
0.154508497187474,-0.475528258147577,0,0,0,1
0.25,-0.43301270189222,0,0,0,1
0.334565303179429,-0.371572412738697,0,0,0,1
0.404508497187474,-0.293892626146237,0,0,0,1
0.4567727288213,-0.2033683215379,0,0,0,1
0.489073800366903,-0.10395584540888,0,0,0,1
0.5,0,0,0,0,1
